"","powiat","miasto"
"1"," aleksandrowski","Aleksandrów Kujawski"
"2"," augustowski","Augustów"
"3"," bartoszycki","Bartoszyce"
"4"," bełchatowski","Bełchatów"
"5"," będziński","Będzin"
"6"," bialski","Biała Podlaska"
"7","Biała Podlaska","Biała Podlaska"
"8"," białobrzeski","Białobrzegi"
"9"," białogardzki","Białogard"
"10"," białostocki","Białystok"
"11","Białystok","Białystok"
"12"," bielski","Bielsko-Biała"
"13"," bielski","Bielsk Podlaski"
"14","Bielsko-Biała","Bielsko-Biała"
"15"," bieruńsko-lędziński","Bieruń"
"16"," bieszczadzki","Ustrzyki Dolne"
"17"," biłgorajski","Biłgoraj"
"18"," bocheński","Bochnia"
"19"," bolesławiecki","Bolesławiec"
"20"," braniewski","Braniewo"
"21"," brodnicki","Brodnica"
"22"," brzeski","Brzesko"
"23"," brzeski","Brzeg"
"24"," brzeziński","Brzeziny"
"25"," brzozowski","Brzozów"
"26"," buski","Busko-Zdrój"
"27"," bydgoski","Bydgoszcz"
"28","Bydgoszcz","Bydgoszcz"
"29","Bytom","Bytom"
"30"," bytowski","Bytów"
"31","Chełm","Chełm"
"32"," chełmiński","Chełmno"
"33"," chełmski","Chełm"
"34"," chodzieski","Chodzież"
"35"," chojnicki","Chojnice"
"36","Chorzów","Chorzów"
"37"," choszczeński","Choszczno"
"38"," chrzanowski","Chrzanów"
"39"," ciechanowski","Ciechanów"
"40"," cieszyński","Cieszyn"
"41"," czarnkowsko-trzcianecki","Czarnków"
"42","Częstochowa","Częstochowa"
"43"," częstochowski","Częstochowa"
"44"," człuchowski","Człuchów"
"45","Dąbrowa Górnicza","Dąbrowa Górnicza"
"46"," dąbrowski","Dąbrowa Tarnowska"
"47"," dębicki","Dębica"
"48"," drawski","Drawsko Pomorskie"
"49"," działdowski","Działdowo"
"50"," dzierżoniowski","Dzierżoniów"
"51","Elbląg","Elbląg"
"52"," elbląski","Elbląg"
"53"," ełcki","Ełk"
"54"," garwoliński","Garwolin"
"55","Gdańsk","Gdańsk"
"56"," gdański","Pruszcz Gdański"
"57","Gdynia","Gdynia"
"58"," giżycki","Giżycko"
"59","Gliwice","Gliwice"
"60"," gliwicki","Gliwice"
"61"," głogowski","Głogów"
"62"," głubczycki","Głubczyce"
"63"," gnieźnieński","Gniezno"
"64"," goleniowski","Goleniów"
"65"," golubsko-dobrzyński","Golub-Dobrzyń"
"66"," gołdapski","Gołdap"
"67"," gorlicki","Gorlice"
"68"," gorzowski","Gorzów Wielkopolski"
"69","Gorzów Wielkopolski","Gorzów Wielkopolski"
"70"," gostyniński","Gostynin"
"71"," gostyński","Gostyń"
"72"," górowski","Góra (województwo dolnośląskie)"
"73"," grajewski","Grajewo"
"74"," grodziski","Grodzisk Mazowiecki"
"75"," grodziski","Grodzisk Wielkopolski"
"76"," grójecki","Grójec"
"77","Grudziądz","Grudziądz"
"78"," grudziądzki","Grudziądz"
"79"," gryficki","Gryfice"
"80"," gryfiński","Gryfino"
"81"," hajnowski","Hajnówka"
"82"," hrubieszowski","Hrubieszów"
"83"," iławski","Iława"
"84"," inowrocławski","Inowrocław"
"85"," janowski","Janów Lubelski"
"86"," jarociński","Jarocin"
"87"," jarosławski","Jarosław"
"88"," jasielski","Jasło"
"89","Jastrzębie-Zdrój","Jastrzębie-Zdrój"
"90"," jaworski","Jawor (miasto)"
"91","Jaworzno","Jaworzno"
"92","Jelenia Góra","Jelenia Góra"
"93"," jeleniogórski","Jelenia Góra"
"94"," jędrzejowski","Jędrzejów"
"95"," kaliski","Kalisz"
"96","Kalisz","Kalisz"
"97"," kamiennogórski","Kamienna Góra"
"98"," kamieński","Kamień Pomorski"
"99"," kartuski","Kartuzy"
"100","Katowice","Katowice"
"101"," kazimierski","Kazimierza Wielka"
"102"," kędzierzyńsko-kozielski","Kędzierzyn-Koźle"
"103"," kępiński","Kępno"
"104"," kętrzyński","Kętrzyn"
"105","Kielce","Kielce"
"106"," kielecki","Kielce"
"107"," kluczborski","Kluczbork"
"108"," kłobucki","Kłobuck"
"109"," kłodzki","Kłodzko"
"110"," kolbuszowski","Kolbuszowa"
"111"," kolneński","Kolno"
"112"," kolski","Koło"
"113"," kołobrzeski","Kołobrzeg"
"114"," konecki","Końskie"
"115","Konin","Konin"
"116"," koniński","Konin"
"117","Koszalin","Koszalin"
"118"," koszaliński","Koszalin"
"119"," kościański","Kościan"
"120"," kościerski","Kościerzyna"
"121"," kozienicki","Kozienice"
"122"," krakowski","Kraków"
"123","Kraków","Kraków"
"124"," krapkowicki","Maciej Sonik"
"125"," krasnostawski","Krasnystaw"
"126"," kraśnicki","Kraśnik"
"127","Krosno","Krosno"
"128"," krośnieński","Krosno"
"129"," krośnieński","Krosno Odrzańskie"
"130"," krotoszyński","Krotoszyn"
"131"," kutnowski","Kutno"
"132"," kwidzyński","Kwidzyn"
"133"," legionowski","Legionowo"
"134","Legnica","Legnica"
"135"," legnicki","Legnica"
"136"," leski","Andrzej Olesiuk"
"137"," leszczyński","Leszno"
"138","Leszno","Leszno"
"139"," leżajski","Leżajsk"
"140"," lęborski","Lębork"
"141"," lidzbarski","Lidzbark Warmiński"
"142"," limanowski","Limanowa"
"143"," lipnowski","Lipno"
"144"," lipski","Lipsko"
"145"," lubaczowski","Lubaczów"
"146"," lubański","Lubań (województwo dolnośląskie)"
"147"," lubartowski","Lubartów"
"148"," lubelski","Lublin"
"149"," lubiński","Lubin"
"150","Lublin","Lublin"
"151"," lubliniecki","Lubliniec"
"152"," lwówecki"," Lwówek Śląski"
"153"," łańcucki","Łańcut"
"154"," łaski","Łask"
"155"," łęczycki","Łęczyca"
"156"," łęczyński","Łęczna"
"157"," łobeski","Łobez"
"158","Łomża","Łomża"
"159"," łomżyński","Łomża"
"160"," łosicki","mgr Bożena Mariola Niedzielak"
"161"," łowicki","Łowicz"
"162"," łódzki wschodni","Łódź"
"163","Łódź","Łódź"
"164"," łukowski","Łuków"
"165"," makowski","Maków Mazowiecki"
"166"," malborski","Malbork"
"167"," miechowski","Miechów"
"168"," mielecki","Mielec"
"169"," międzychodzki","Międzychód"
"170"," międzyrzecki","Międzyrzec"
"171"," mikołowski","Mikołów"
"172"," milicki","Milicz"
"173"," miński","Mińsk Mazowiecki"
"174"," mławski","Mława"
"175"," mogileński","Mogilno"
"176"," moniecki","Mońki"
"177"," mrągowski","Mrągowo"
"178","Mysłowice","Mysłowice"
"179"," myszkowski","Myszków"
"180"," myślenicki","Myślenice"
"181"," myśliborski","Myślibórz"
"182"," nakielski","Nakło nad Notecią"
"183"," namysłowski","Namysłów"
"184"," nidzicki","Nidzica"
"185"," niżański","Nisko"
"186"," nowodworski","Nowy Dwór Gdański"
"187"," nowodworski","Nowy Dwór Mazowiecki"
"188"," nowomiejski","Nowe Miasto Lubawskie"
"189"," nowosądecki","Nowy Sącz"
"190"," nowosolski","Nowa Sól"
"191"," nowotarski","Nowy Targ"
"192"," nowotomyski","Nowy Tomyśl"
"193","Nowy Sącz","Nowy Sącz"
"194"," nyski","Nysa"
"195"," obornicki","Oborniki"
"196"," olecki","Olecko"
"197"," oleski","Olesno"
"198"," oleśnicki","Oleśnica"
"199"," olkuski","Olkusz"
"200","Olsztyn","Olsztyn"
"201"," olsztyński","Olsztyn"
"202"," oławski","Oława"
"203"," opatowski","Opatów"
"204"," opoczyński","Opoczno"
"205","Opole","Opole"
"206"," opolski","Opole Lubelskie"
"207"," opolski","Opole"
"208"," ostrołęcki","Stanisław Kubeł"
"209","Ostrołęka","Ostrołęka"
"210"," ostrowiecki","Ostrowiec Świętokrzyski"
"211"," ostrowski","Ostrów Wielkopolski"
"212"," ostrowski","Ostrów Mazowiecka"
"213"," ostródzki","Ostróda"
"214"," ostrzeszowski","Ostrzeszów"
"215"," oświęcimski","Oświęcim"
"216"," otwocki","Otwock"
"217"," pabianicki","Pabianice"
"218"," pajęczański","Pajęczno"
"219"," parczewski","Parczew"
"220"," piaseczyński","Piaseczno"
"221","Piekary Śląskie","Piekary Śląskie"
"222"," pilski","Piła"
"223"," pińczowski","Pińczów"
"224"," piotrkowski","Piotrków Trybunalski"
"225","Piotrków Trybunalski","Piotrków Trybunalski"
"226"," piski","Pisz"
"227"," pleszewski","Pleszew"
"228","Płock","Płock"
"229"," płocki","Płock"
"230"," płoński","Płońsk"
"231"," poddębicki","Poddębice"
"232"," policki","Police"
"233"," polkowicki","Polkowice"
"234","Poznań","Poznań"
"235"," poznański","Poznań"
"236"," proszowicki","Proszowice"
"237"," prudnicki","Prudnik"
"238"," pruszkowski","Pruszków"
"239"," przasnyski","Przasnysz"
"240"," przemyski","Przemyśl"
"241","Przemyśl","Przemyśl"
"242"," przeworski","Przeworsk"
"243"," przysuski","Przysucha"
"244"," pszczyński","Pszczyna"
"245"," pucki","Puck"
"246"," puławski","Puławy"
"247"," pułtuski","Pułtusk"
"248"," pyrzycki","Pyrzyce"
"249"," raciborski","Racibórz"
"250","Radom","Radom"
"251"," radomski","Radom"
"252"," radomszczański","Radomsko"
"253"," radziejowski","Radziejów"
"254"," radzyński","Radzyń Podlaski"
"255"," rawicki","Rawicz"
"256"," rawski","Rawa Mazowiecka"
"257"," ropczycko-sędziszowski","Ropczyce"
"258","Ruda Śląska","Ruda Śląska"
"259"," rybnicki","Rybnik"
"260","Rybnik","Rybnik"
"261"," rycki","Ryki"
"262"," rypiński","Rypin"
"263"," rzeszowski","Rzeszów"
"264","Rzeszów","Rzeszów"
"265"," sandomierski","Sandomierz"
"266"," sanocki","Sanok"
"267"," sejneński","Sejny"
"268"," sępoleński","Sępólno Krajeńskie"
"269","Siedlce","Siedlce"
"270"," siedlecki","Siedlce"
"271","Siemianowice Śląskie","Siemianowice Śląskie"
"272"," siemiatycki","Siemiatycze"
"273"," sieradzki","Sieradz"
"274"," sierpecki","Sierpc"
"275"," skarżyski","Skarżysko-Kamienna"
"276","Skierniewice","Skierniewice"
"277"," skierniewicki","Skierniewice"
"278"," sławieński","Sławno"
"279"," słubicki","Słubice"
"280"," słupecki","Słupca"
"281","Słupsk","Słupsk"
"282"," słupski","Słupsk"
"283"," sochaczewski","Sochaczew"
"284"," sokołowski","Sokołów"
"285"," sokólski","Sokółka"
"286","Sopot","Sopot"
"287","Sosnowiec","Sosnowiec"
"288"," stalowowolski","Stalowa Wola"
"289"," starachowicki","Starachowice"
"290"," stargardzki","Stargard"
"291"," starogardzki","Starogard Gdański"
"292"," staszowski","Staszów"
"293"," strzelecki","Strzelce Opolskie"
"294"," strzelecko-drezdenecki","Strzelce Krajeńskie"
"295"," strzeliński","Strzelin"
"296"," strzyżowski","Strzyżów"
"297"," sulęciński","Sulęcin"
"298"," suski","Sucha Beskidzka"
"299"," suwalski","Suwałki"
"300","Suwałki","Suwałki"
"301"," szamotulski","Szamotuły"
"302","Szczecin","Szczecin"
"303"," szczecinecki","Szczecinek"
"304"," szczycieński","Szczytno"
"305"," sztumski","Sztum"
"306"," szydłowiecki","Szydłowiec"
"307"," średzki","Środa Wielkopolska"
"308"," średzki","Środa Śląska"
"309"," śremski","Śrem"
"310"," świdnicki","Świdnik"
"311"," świdnicki","Świdnica"
"312"," świdwiński","Świdwin"
"313"," świebodziński","Świebodzin"
"314"," świecki","Świecie"
"315","Świętochłowice","Świętochłowice"
"316","Świnoujście","Świnoujście"
"317","Tarnobrzeg","Tarnobrzeg"
"318"," tarnobrzeski","Tarnobrzeg"
"319"," tarnogórski","Tarnowskie Góry"
"320"," tarnowski","Tarnów"
"321","Tarnów","Tarnów"
"322"," tatrzański","Zakopane"
"323"," tczewski","Tczew"
"324"," tomaszowski","Tomaszów Mazowiecki"
"325"," tomaszowski","Tomaszów Lubelski"
"326","Toruń","Toruń"
"327"," toruński","Toruń"
"328"," trzebnicki","Trzebnica"
"329"," tucholski","Tuchola"
"330"," turecki","Turek"
"331","Tychy","Tychy"
"332"," wadowicki","Wadowice"
"333","Wałbrzych","Wałbrzych"
"334"," wałbrzyski","Wałbrzych"
"335"," wałecki","Wałcz"
"336","Warszawa","Warszawa"
"337"," warszawski zachodni","Ożarów Mazowiecki"
"338"," wąbrzeski","Wąbrzeźno"
"339"," wągrowiecki","Wągrowiec"
"340"," wejherowski","Wejherowo"
"341"," węgorzewski","Marzenna Supranowicz"
"342"," węgrowski","Węgrów"
"343"," wielicki","Wieliczka"
"344"," wieluński","Wieluń"
"345"," wieruszowski","Wieruszów"
"346","Włocławek","Włocławek"
"347"," włocławski","Włocławek"
"348"," włodawski","Włodawa"
"349"," włoszczowski","Włoszczowa"
"350"," wodzisławski","Wodzisław Śląski"
"351"," wolsztyński","Wolsztyn"
"352"," wołomiński","Wołomin"
"353"," wołowski","Wołów"
"354","Wrocław","Wrocław"
"355"," wrocławski","Wrocław"
"356"," wrzesiński","Września"
"357"," wschowski","Wschowa"
"358"," wysokomazowiecki","Wysokie Mazowieckie"
"359"," wyszkowski","Wyszków"
"360","Zabrze","Zabrze"
"361"," zambrowski","Zambrów"
"362"," zamojski","Zamość"
"363","Zamość","Zamość"
"364"," zawierciański","Zawiercie"
"365"," ząbkowicki","Ząbkowice Śląskie"
"366"," zduńskowolski","Zduńska Wola"
"367"," zgierski","Zgierz"
"368"," zgorzelecki","Zgorzelec"
"369","Zielona Góra","Zielona Góra"
"370"," zielonogórski","Zielona Góra"
"371"," złotoryjski","Złotoryja"
"372"," złotowski","Złotów"
"373"," zwoleński","Zwoleń"
"374"," żagański","Żagań"
"375"," żarski","Żary"
"376"," żniński","Żnin"
"377","Żory","Żory"
"378"," żuromiński","Żuromin"
"379"," żyrardowski","Żyrardów"
"380"," żywiecki","Żywiec"
